id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided context, including the initial response time and resolution time without any additional or incorrect information.",5,"The answer directly and fully addresses the question by providing the specific SLA for P1 tickets, including both the response time and the resolution time.",5,Retrieved: 1/1 expected sources,5,The model answer includes both key points: the initial response time of 15 minutes and the resolution time of 4 hours.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][2].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the timeframe for requesting a refund.,5,The answer directly and fully addresses the question by specifying that customers can request a refund within 7 working days from the order confirmation.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for granting Level 3 access, including the necessary approvals from Line Manager, IT Admin, and IT Security as stated in the provided context.",5,The answer directly and fully addresses the question by specifying the individuals who need to approve the granting of Level 3 access.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, theo điều khoản ngoại lệ trong chính sách hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the information provided in the retrieved chunks, specifically noting that digital products are not eligible for refunds as stated in chunk [1]. There is no invented information.",5,The answer directly addresses the question by stating that digital products are not refundable according to the refund policy.,5,Retrieved: 1/1 expected sources,5,"The model answer fully captures the key point that digital products are not eligible for refunds, aligning with the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that the account is locked after 5 consecutive failed login attempts and provides the correct methods for unlocking the account.",5,The answer directly and fully addresses the question by stating the number of incorrect login attempts that lead to account lockout and provides information on how to unlock the account.,0,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],5,"The model answer includes all key points from the expected answer, providing the correct number of failed login attempts and additional information on how to unlock the account.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Sau khi khắc phục, engineer phải viết incident report trong vòng 24 giờ [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for incident P1 as described in the provided chunks, without adding any invented information.",5,"The answer provides a clear and detailed step-by-step process of how escalation occurs during a P1 incident, addressing the question directly and fully.",5,Retrieved: 1/1 expected sources,4,"The model answer covers the key points from the expected answer, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes, but it includes additional details about the process that are not in the expected answer.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu ""Approval Matrix để cấp quyền hệ thống"" là ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer accurately reflects the title of the document as stated in chunk [1] without adding any invented information.,5,"The answer directly provides the English equivalent of the document requested in the question, clearly addressing the inquiry.",5,Retrieved: 1/1 expected sources,3,The model answer provides the old name of the document but does not mention the new name 'Access Control SOP'. | Missing: ['Tên mới của tài liệu'],baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in chunk [1] regarding remote work conditions, including the maximum number of remote days and the requirement for approval.",5,The answer directly and fully addresses the question by specifying the maximum number of remote days allowed per week and the conditions for approval.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the maximum number of remote days, the condition of completing the probation period, and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",3,"The answer indicates a lack of sufficient data to respond to a question, which is somewhat supported by the provided chunks. However, it does not directly reference any specific question or context from the chunks, leading to ambiguity.",1,The answer does not provide any information about the ERR-403-AUTH error or how to handle it.,,No expected sources,3,"Mặc dù model answer chỉ ra rằng không đủ dữ liệu, nhưng nó không đề cập đến việc lỗi ERR-403-AUTH có thể liên quan đến xác thực và không khuyến nghị liên hệ IT Helpdesk. | Missing: ['Lỗi liên quan đến xác thực (authentication)', 'Khuyến nghị liên hệ IT Helpdesk']",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is not enough data to respond to the question, which contradicts the provided chunks that contain specific information about refund requests and conditions.",1,The answer does not provide any information or guidance regarding the process for urgent refunds for VIP customers.,5,Retrieved: 1/1 expected sources,2,"Mặc dù model answer chỉ ra rằng không đủ dữ liệu, nhưng nó không cung cấp thông tin cụ thể về chính sách hoàn tiền cho khách hàng VIP như trong expected answer. | Missing: ['Không đề cập đến việc tài liệu chính sách hoàn tiền không có quy trình đặc biệt cho khách hàng VIP.', 'Không nêu rõ rằng tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.']",baseline_dense
