id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ so với phiên bản trước [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"The answer accurately reflects the updated SLA for ticket P1, which is a direct reference from the provided chunks.",5,The answer directly addresses the question by clearly stating the change in SLA for P1 tickets from 6 hours to 4 hours.,5,Retrieved: 1/1 expected sources,4,"Mô hình đã nêu rõ sự thay đổi SLA từ 6 giờ xuống 4 giờ, nhưng thiếu thông tin về các phiên bản cụ thể và ngày có hiệu lực. | Missing: ['Thông tin về phiên bản hiện tại (v2026.1) và ngày có hiệu lực (2026-01-15)', 'Thông tin về phiên bản trước (v2025.3) không thay đổi SLA']",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"The answer is directly supported by the information provided in chunk [1], which states that each account can connect to the VPN on a maximum of 2 devices simultaneously.",5,The answer directly addresses the question by specifying the maximum number of devices (2) that can be connected to the VPN simultaneously.,2,Retrieved: 1/2 expected sources. Missing: ['support/helpdesk-faq.md'],3,"The model answer only mentions the maximum number of devices but omits the requirement of using VPN and the specific software used. | Missing: ['VPN là bắt buộc theo HR Leave Policy', 'Phần mềm VPN là Cisco AnyConnect']",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt sẽ không được hoàn tiền [1].,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically mentioning that orders with special discount codes from Flash Sale promotions and activated products are not eligible for refunds.",5,The answer directly addresses the question by clearly stating that orders made during the Flash Sale program and products that have been activated are not eligible for a refund.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the conditions of the Flash Sale and the activation of the product leading to no refund.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,The answer accurately reflects the information provided in chunk [1] about receiving store credit at 110% of the original amount.,5,The answer directly addresses the question by stating that choosing store credit results in receiving 110% of the original amount.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, stating that customers can choose store credit for 110% of the original amount and clarifying that this is an option, not a requirement.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Không đủ dữ liệu trong tài liệu để trả lời câu hỏi này.,"Có. Theo Access Control SOP, quy trình áp dụng cho cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",3,"The answer states that there is not enough data to answer the question, which may be true depending on the specific question asked. However, the provided chunks contain detailed information about the access request process and escalation procedures, suggesting that some questions could be answered based on the available context.",1,"The answer does not provide any information regarding whether external contractors can be granted Admin Access, the time required, or any special requirements.",5,Retrieved: 1/1 expected sources,1,"Model answer không cung cấp thông tin nào từ expected answer. | Missing: ['Contractor có thể được cấp quyền Admin Access', 'Quy trình áp dụng cho cả nhân viên, contractor và third-party vendor', 'Cần phê duyệt từ IT Manager và CISO', 'Thời gian xử lý 5 ngày làm việc', 'Yêu cầu training bắt buộc về security policy']",baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.

Quyền này tồn tại tối đa 24 giờ [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"The answer accurately summarizes the process for granting temporary permissions to engineers during a P1 incident as outlined in the provided context, without adding any invented information.",5,The answer directly and fully addresses the question by outlining the specific process for granting temporary access and the duration of that access.,5,Retrieved: 2/2 expected sources,5,"The model answer covers all key points from the expected answer, including the process for granting temporary access, the maximum duration of the access, the requirement for a formal ticket after 24 hours, and the logging of temporary permissions.",baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Không đủ dữ liệu trong tài liệu để trả lời câu hỏi này.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"The answer states that there is not enough data to respond to the question, but the provided chunks contain relevant information about how to report a broken laptop, which directly addresses the question.",1,"The answer does not provide any information regarding the penalty for violating the SLA P1, only stating a lack of data.",,No expected sources,4,"Model answer acknowledges insufficient data but does not specify the details about the SLA document and its contents. | Missing: ['Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target', 'không có điều khoản về penalty']",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp, cần giấy tờ y tế từ bệnh viện [1]. Do đó, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the notice period for annual leave and the requirement for medical documentation for sick leave.,5,The answer directly addresses the question by providing the required notice period for annual leave and clarifying the difference in documentation needed for sick leave.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the requirement to notify 3 days in advance for annual leave and the need for medical documentation if absent for more than 3 consecutive days.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?",Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].,"Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,"The answer is completely grounded in the provided context, accurately reflecting the requirement for password changes every 90 days and the reminder system.",5,"The answer directly addresses both parts of the question: it confirms that passwords need to be changed periodically, specifies the frequency (every 90 days), and mentions the reminder period (7 days before expiration).",0,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],4,"Model answer includes the frequency of password change and the reminder period but omits the specific URL for password reset and the contact information for Helpdesk. | Missing: ['Địa chỉ để đổi mật khẩu', 'Thông tin liên hệ Helpdesk']",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày có hiệu lực sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày này. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that the current refund policy does not apply to orders placed before 01/02/2026 and correctly references the application of refund policy version 3 for those orders.",5,"The answer directly addresses the question by stating that the current refund policy does not apply to orders placed before the specified date, and it provides additional context regarding the applicable policy.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the effective date of the new refund policy and the application of the previous policy for orders placed before that date.",baseline_dense
